siteID,year,rain,pet,aet,grow,degd,dryd_upper,dryd_base,flood_d
784,300,1172.4778,89.49717,89.49717,239.0,2200.6252,0.0,0.0,1.5271966
784,310,1136.6726,91.53697,91.53697,246.0,2254.7222,0.0,0.0,1.4837399
784,320,1213.4529,92.178566,92.178566,234.0,2140.8486,0.0,0.0,1.5598291
784,330,1229.584,89.50236,89.50236,232.0,2197.6904,0.0,0.0,1.5732758
784,340,1156.9805,90.40779,90.40779,216.0,2231.686,0.0,0.0,1.6898148
784,350,1151.1943,92.04222,92.04222,234.0,2196.0002,0.0,0.0,1.5598291
784,360,1008.79297,93.01735,93.01735,253.0,2205.882,0.0,0.0,1.4426877
784,370,1043.4523,91.178314,91.178314,234.0,2166.5962,0.0,0.0,1.5598291
784,380,1188.5864,86.12447,86.12447,217.0,2159.7097,0.0,0.0,1.6820277
784,390,1241.3381,89.706924,89.706924,232.0,2180.6626,0.0,0.0,1.5732758
784,400,1225.248,89.70295,89.70295,242.0,2193.857,0.0,0.0,1.5082644
784,410,1155.976,94.51455,94.51455,226.0,2428.1865,0.0,0.0,1.6150442
784,420,1045.1184,85.81523,85.81523,222.0,2076.6125,0.0,0.0,1.6441442
784,430,1172.2301,90.05944,90.05944,231.0,2144.8025,0.0,0.0,1.5800866
784,440,1113.7441,89.62773,89.62773,230.0,2218.326,0.0,0.0,1.5869565
784,450,1232.7993,89.07721,89.07721,219.0,2301.4731,0.0,0.0,1.6666666
784,460,1163.3398,92.44179,92.44179,236.0,2127.9744,0.0,0.0,1.5466101
784,470,1192.473,86.96193,86.96193,220.0,2155.1616,0.0,0.0,1.6590909
784,480,1137.6722,87.78105,87.78105,225.0,2204.074,0.0,0.0,1.6222222
784,490,1144.047,91.60346,91.60346,236.0,2230.0918,0.0,0.0,1.5466101
784,500,1219.5569,91.62874,91.62874,232.0,2138.8704,0.0,0.0,1.5732758
784,510,1190.4283,89.65111,89.65111,244.0,2177.93,0.0,0.0,1.4959016
784,520,1058.3834,93.35075,93.35075,237.0,2210.0288,0.0,0.0,1.5400844
784,530,1131.3999,90.527016,90.527016,226.0,2202.8164,0.0,0.0,1.6150442
784,540,1192.2365,92.54455,92.54455,235.0,2396.9666,0.0,0.0,1.5531915
784,550,1195.8302,92.04505,92.04505,232.0,2349.1663,0.0,0.0,1.5732758
784,560,1223.3936,90.73168,90.73168,241.0,2169.3308,0.0,0.0,1.5145228
784,570,1268.4456,88.369514,88.369514,235.0,2079.8066,0.0,0.0,1.5531915
784,580,1212.7291,90.635124,90.635124,221.0,2231.9126,0.0,0.0,1.6515837
784,590,1126.3251,89.69933,89.69933,222.0,2137.2324,0.0,0.0,1.6441442
784,600,1156.7489,91.041725,91.041725,238.0,2306.8538,0.0,0.0,1.5336134
784,610,1114.5115,90.609924,90.609924,212.0,2202.1821,0.0,0.0,1.7216982
784,620,1078.3162,91.94126,91.94126,234.0,2423.0505,0.0,0.0,1.5598291
784,630,1183.8105,91.0582,91.0582,238.0,2104.8274,0.0,0.0,1.5336134
784,640,1149.2987,93.02668,93.02668,248.0,2392.845,0.0,0.0,1.4717742
784,650,1186.7198,92.83712,92.83712,240.0,2122.4731,0.0,0.0,1.5208334
784,660,1232.3984,93.13008,93.13008,234.0,2230.4453,0.0,0.0,1.5598291
784,670,1162.4786,89.42066,89.42066,236.0,2274.0906,0.0,0.0,1.5466101
784,680,1268.7339,88.44399,88.44399,223.0,2144.539,0.0,0.0,1.6367713
784,690,1225.4647,91.38712,91.38712,243.0,2198.951,0.0,0.0,1.5020577
784,700,1130.4602,89.989494,89.989494,229.0,2179.0698,0.0,0.0,1.5938865
784,710,1086.27,86.03299,86.03299,220.0,2118.8098,0.0,0.0,1.6590909
784,720,1167.0701,89.16083,89.16083,232.0,2307.577,0.0,0.0,1.5732758
784,730,1181.0737,85.367065,85.367065,220.0,2127.3584,0.0,0.0,1.6590909
784,740,1139.9937,87.51239,87.51239,231.0,2228.7114,0.0,0.0,1.5800866
784,750,1183.3524,90.678375,90.678375,222.0,2271.7124,0.0,0.0,1.6441442
784,760,1199.4279,91.384544,91.384544,241.0,2071.7266,0.0,0.0,1.5145228
784,770,1000.6154,85.672905,85.672905,217.0,2078.0344,0.0,0.0,1.6820277
784,780,1051.9678,89.6638,89.6638,220.0,2285.1584,0.0,0.0,1.6590909
784,790,1056.215,86.843765,86.843765,216.0,2210.9966,0.0,0.0,1.6898148
784,800,1203.8165,89.41519,89.41519,230.0,2186.5857,0.0,0.0,1.5869565
784,810,1227.9199,92.00161,92.00161,233.0,2246.6213,0.0,0.0,1.5665236
784,820,1077.7056,90.86252,90.86252,235.0,2042.8673,0.0,0.0,1.5531915
784,830,1251.521,89.29895,89.29895,226.0,2146.6812,0.0,0.0,1.6150442
784,840,1176.9803,90.126724,90.126724,214.0,2105.9036,0.0,0.0,1.7056075
784,850,1154.7356,91.360435,91.360435,241.0,2178.8792,0.0,0.0,1.5145228
784,860,1142.6006,93.51203,93.51203,251.0,2297.0864,0.0,0.0,1.4541832
784,870,1158.6127,88.94164,88.94164,223.0,2407.4277,0.0,0.0,1.6367713
784,880,1266.0834,89.165,89.165,224.0,2223.5024,0.0,0.0,1.6294643
784,890,1079.8495,89.706314,89.706314,238.0,2306.2568,0.0,0.0,1.5336134
784,900,1198.0514,90.32276,90.32276,234.0,2137.0144,0.0,0.0,1.5598291
784,910,1178.3915,87.55335,87.55335,218.0,2262.6428,0.0,0.0,1.6743119
784,920,1243.054,94.053116,94.053116,247.0,2297.6475,0.0,0.0,1.4777328
784,930,1112.0795,86.27912,86.27912,211.0,2183.8164,0.0,0.0,1.7298578
784,940,1088.1736,92.87469,92.87469,225.0,2377.012,0.0,0.0,1.6222222
784,950,1131.3463,88.82034,88.82034,221.0,2357.9983,0.0,0.0,1.6515837
784,960,1222.1926,90.31191,90.31191,245.0,2111.4463,0.0,0.0,1.4897959
784,970,1179.9741,92.21372,92.21372,235.0,2177.8296,0.0,0.0,1.5531915
784,980,1116.2819,89.03753,89.03753,248.0,2117.1997,0.0,0.0,1.4717742
784,990,1131.5413,91.58903,91.58903,232.0,2280.0767,0.0,0.0,1.5732758
784,1000,1235.5851,88.12214,88.12214,225.0,2125.265,0.0,0.0,1.6222222
