Group,Genus,Individual,Scientific name,Common name,AGEmax,DBHmax,Hmax,s,g,bulk,D_L,L_C,DEGDmin,DEGDoptimum,DEGDmax,l,d,f,n,fire,stress,old,evergreen,invader,seed,sprout,NDE,NDS,Species_code
15,Pinus',8,Pinus_rigida',Pitch_pine',200,61,21,0.64,3.000,0.47,0.15,0.5,1630,3161,4704,5,2,4,1,2,2,1,1,0.1,1,1,0.56,0.93,PINUrigi
15,Pinus',9,Pinus_serotina',Pond_pine',200,61,21,0.64,3.000,0.46,0.15,0.5,3052,4558,6064,5,3,1,1,2,2,1,1,0.01,1,1,0.56,0.93,PINUsero
15,Pinus',10,Pinus_taeda',Loblolly_pine',300,137,46,0.65,3.000,0.47,0.15,0.5,3052,4558,6064,5,2,3,1,2,2,1,1,0.1,10,0,0.56,0.93,PINUtaed
15,Pinus',11,Pinus_elliottii',Slash_pine',200,91,30,0.63,3.000,0.54,0.15,0.5,3634,5238,6842,5,2,2,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUelli
15,Pinus',12,Pinus_glabra',Spruce_pine',200,91,37,0.78,3.000,0.43,0.15,0.5,3634,5238,6842,2,3,3,2,2,2,1,1,0.01,1,0,0.56,0.93,PINUglab
15,Pinus',13,Pinus_ponderosa',Ponderosa_pine',600,183,55,0.59,3.000,0.40,0.15,0.5,828,2030,3233,5,1,6,1,2,2,1,1,0.01,10,0,0.56,0.93,PINUpond
15,Pinus',14,Pinus_jeffreyi',Jeffrey_pine',500,183,55,0.59,3.000,0.40,0.15,0.5,828,2030,3233,5,1,6,1,2,2,1,1,0.01,10,0,0.56,0.93,PINUjeff
15,Pinus',15,Pinus_lambertiana',Sugar_pine',500,305,70,0.45,3.000,0.36,0.15,0.5,828,2030,3233,3,2,5,2,2,2,1,1,0.01,1,0,0.56,0.93,PINUlamb
15,Pinus',16,Pinus_monticola',Western_white_pine',400,152,55,0.71,3.000,0.36,0.15,0.5,388,1551,2712,3,2,5,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUmont
15,Pinus',17,Pinus_contorta',Lodgepole_pine',300,76,30,0.75,3.000,0.38,0.15,0.5,388,1200,2012,5,2,5,1,2,2,1,1,0.1,10,0,0.56,0.93,PINUcont
15,Pinus',18,Pinus_flexilis',Limber_pine',1000,122,18,0.30,1.000,0.37,0.15,0.5,388,828,1268,4,1,6,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUflex
15,Pinus',19,Pinus_albicaulis',Whitebark_pine',1000,91,21,0.43,2.663,0.38,0.15,0.5,388,828,1268,4,1,6,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUalbi
15,Pinus',20,Pinus_coulteri',Coulter_pine',150,91,24,0.50,3.000,0.42,0.15,0.5,1630,2546,3461,5,1,6,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUcoul
15,Pinus',21,Pinus_attenuata',Knobcone_pine',100,46,24,0.98,3.000,0.40,0.15,0.5,1323,2546,3769,5,2,6,1,2,2,1,1,0.1,1,0,0.56,0.93,PINUatte
15,Pinus',22,Pinus_muricata',Bishop_pine',200,76,24,0.60,3.000,0.42,0.15,0.5,1323,2030,2737,5,2,5,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUmuri
15,Pinus',23,Pinus_radiata',Monterey_pine',150,91,30,0.63,3.000,0.42,0.15,0.5,1323,2030,2737,5,2,5,1,2,2,1,1,0.1,10,0,0.56,0.93,PINUradi
15,Pinus',24,Pinus_sabiniana',Gray_pine',150,122,24,0.37,3.000,0.43,0.15,0.5,1630,2546,3461,5,1,6,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUsabi
15,Pinus',25,Pinus_aristata',Rocky_Mountain_bristlecone',2000,76,15,0.36,0.864,0.47,0.15,0.5,388,828,1268,5,1,6,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUaris
