site,latitude,longitude,wmo,name,region,elevation,slope,soilA_field_cap,soilA_perm_wp,lai,soil_base_h,lai_w0,soilAO_w0,soilA_w0,sbase_w0,fire_prob,wind_prob,soilAO_c0,soilAO_n0,soilA_c0,soilA_n0,sbase_c0,sbase_n0,sigma,tmp_lapse_jan,tmp_lapse_feb,tmp_lapse_mar,tmp_lapse_apr,tmp_lapse_may,tmp_lapse_jun,tmp_lapse_jul,tmp_lapse_aug,tmp_lapse_sep,tmp_lapse_oct,tmp_lapse_nov,tmp_lapse_dec,prcp_lapse_jan,prcp_lapse_feb,prcp_lapse_mar,prcp_lapse_apr,prcp_lapse_may,prcp_lapse_jun,prcp_lapse_jul,prcp_lapse_aug,prcp_lapse_sep,prcp_lapse_oct,prcp_lapse_nov,prcp_lapse_dec
10,48.75,-117.25,0,CONUS_48.75_-117.25,USA,318.9,0,13.9,6.6,3.0,35.0,0.5,0.6,13.0,10.9,0,0,6.3,0.13,42.3,3.27,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,48.75,-116.75,0,CONUS_48.75_-116.75,USA,382.8,0,13.8,6.6,3.0,35.0,0.5,0.6,13.0,10.9,0,0,5.9,0.12,40.0,3.09,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,48.75,-116.25,0,CONUS_48.75_-116.25,USA,372.7,0,18.4,9.6,3.0,35.0,0.5,0.6,17.3,10.9,0,0,6.5,0.13,44.1,3.4,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,48.75,-115.75,0,CONUS_48.75_-115.75,USA,284.5,0,18.4,9.6,3.0,35.0,0.5,0.6,17.3,10.9,0,0,7.1,0.14,48.0,3.7,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,48.75,-115.25,0,CONUS_48.75_-115.25,USA,317.9,0,20.3,11.5,3.0,35.0,0.5,0.6,19.1,10.9,0,0,6.7,0.13,44.9,3.47,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,48.75,-114.75,0,CONUS_48.75_-114.75,USA,364.8,0,18.1,9.2,3.0,35.0,0.5,0.6,17.0,10.9,0,0,6.6,0.13,44.7,3.45,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,48.75,-114.25,0,CONUS_48.75_-114.25,USA,337.5,0,22.2,11.6,3.0,35.0,0.5,0.6,20.8,10.9,0,0,10.2,0.2,69.1,5.33,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,48.75,-113.75,0,CONUS_48.75_-113.75,USA,377.1,0,22.2,11.6,3.0,35.0,0.5,0.6,20.8,10.9,0,0,12.3,0.25,82.7,6.38,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,48.75,-95.75,0,CONUS_48.75_-95.75,USA,15.2,0,17.9,10.1,3.0,35.0,0.5,0.6,16.8,10.9,0,0,14.1,0.28,95.0,7.33,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,48.75,-95.25,0,CONUS_48.75_-95.25,USA,21.4,0,24.9,14.9,3.0,35.0,0.5,0.6,23.4,10.9,0,0,12.8,0.26,86.0,6.64,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,48.75,-94.75,0,CONUS_48.75_-94.75,USA,16.8,0,23.6,12.6,3.0,35.0,0.5,0.6,22.2,10.9,0,0,20.3,0.41,137.1,10.57,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,48.25,-124.25,0,CONUS_48.25_-124.25,USA,177.0,0,21.9,11.2,3.0,35.0,0.5,0.6,20.6,10.9,0,0,18.9,0.38,127.7,9.85,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,48.25,-122.75,0,CONUS_48.25_-122.75,USA,75.7,0,23.5,13.0,3.0,35.0,0.5,0.6,22.1,10.9,0,0,10.1,0.2,68.3,5.27,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,48.25,-122.25,0,CONUS_48.25_-122.25,USA,224.1,0,21.9,11.2,3.0,35.0,0.5,0.6,20.6,10.9,0,0,12.9,0.26,86.8,6.7,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,48.25,-121.75,0,CONUS_48.25_-121.75,USA,362.1,0,21.9,11.2,3.0,35.0,0.5,0.6,20.6,10.9,0,0,13.2,0.26,89.1,6.87,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,48.25,-121.25,0,CONUS_48.25_-121.25,USA,462.0,0,18.2,9.6,3.0,35.0,0.5,0.6,17.1,10.9,0,0,10.1,0.2,67.8,5.23,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,48.25,-120.75,0,CONUS_48.25_-120.75,USA,473.2,0,21.9,11.2,3.0,35.0,0.5,0.6,20.6,10.9,0,0,11.5,0.23,77.5,5.98,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,48.25,-120.25,0,CONUS_48.25_-120.25,USA,504.7,0,21.0,10.7,3.0,35.0,0.5,0.6,19.8,10.9,0,0,10.5,0.21,70.7,5.45,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,48.25,-119.25,0,CONUS_48.25_-119.25,USA,305.7,0,18.4,9.6,3.0,35.0,0.5,0.6,17.3,10.9,0,0,8.0,0.16,53.8,4.15,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,48.25,-118.75,0,CONUS_48.25_-118.75,USA,247.1,0,16.1,7.7,3.0,35.0,0.5,0.6,15.1,10.9,0,0,6.7,0.13,45.2,3.49,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,48.25,-118.25,0,CONUS_48.25_-118.25,USA,251.9,0,16.1,7.7,3.0,35.0,0.5,0.6,15.1,10.9,0,0,5.9,0.12,40.0,3.09,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,48.25,-117.75,0,CONUS_48.25_-117.75,USA,248.1,0,22.2,12.5,3.0,35.0,0.5,0.6,20.9,10.9,0,0,5.7,0.11,38.2,2.95,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,48.25,-117.25,0,CONUS_48.25_-117.25,USA,219.6,0,22.2,12.5,3.0,35.0,0.5,0.6,20.9,10.9,0,0,5.7,0.11,38.1,2.94,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,48.25,-116.75,0,CONUS_48.25_-116.75,USA,263.1,0,22.2,12.5,3.0,35.0,0.5,0.6,20.9,10.9,0,0,5.7,0.11,38.2,2.95,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,48.25,-116.25,0,CONUS_48.25_-116.25,USA,370.3,0,22.2,12.5,3.0,35.0,0.5,0.6,20.9,10.9,0,0,5.8,0.12,38.9,3.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,48.25,-115.75,0,CONUS_48.25_-115.75,USA,393.6,0,18.1,9.2,3.0,35.0,0.5,0.6,17.0,10.9,0,0,6.0,0.12,40.2,3.1,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,48.25,-115.25,0,CONUS_48.25_-115.25,USA,225.5,0,18.1,9.2,3.0,35.0,0.5,0.6,17.0,10.9,0,0,6.0,0.12,40.2,3.1,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,48.25,-114.75,0,CONUS_48.25_-114.75,USA,192.9,0,18.1,9.2,3.0,35.0,0.5,0.6,17.0,10.9,0,0,6.0,0.12,40.5,3.13,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,48.25,-114.25,0,CONUS_48.25_-114.25,USA,237.7,0,20.3,11.5,3.0,35.0,0.5,0.6,19.1,10.9,0,0,8.2,0.16,55.4,4.27,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,48.25,-113.75,0,CONUS_48.25_-113.75,USA,345.8,0,20.3,11.5,3.0,35.0,0.5,0.6,19.1,10.9,0,0,9.8,0.2,66.1,5.1,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,48.25,-113.25,0,CONUS_48.25_-113.25,USA,240.9,0,21.9,11.2,3.0,35.0,0.5,0.6,20.6,10.9,0,0,13.0,0.26,87.9,6.78,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,48.25,-95.25,0,CONUS_48.25_-95.25,USA,5.8,0,17.9,10.1,3.0,35.0,0.5,0.6,16.8,10.9,0,0,10.5,0.21,70.8,5.46,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,48.25,-94.75,0,CONUS_48.25_-94.75,USA,6.2,0,17.9,10.1,3.0,35.0,0.5,0.6,16.8,10.9,0,0,11.3,0.23,76.2,5.88,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,48.25,-94.25,0,CONUS_48.25_-94.25,USA,9.9,0,16.9,6.9,3.0,35.0,0.5,0.6,15.9,10.9,0,0,8.4,0.17,56.4,4.35,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,48.25,-93.75,0,CONUS_48.25_-93.75,USA,15.2,0,16.9,6.9,3.0,35.0,0.5,0.6,15.9,10.9,0,0,12.8,0.26,86.5,6.67,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,48.25,-93.25,0,CONUS_48.25_-93.25,USA,25.4,0,14.1,8.0,3.0,35.0,0.5,0.6,13.2,10.9,0,0,16.2,0.32,109.0,8.41,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,48.25,-92.75,0,CONUS_48.25_-92.75,USA,30.3,0,24.9,14.9,3.0,35.0,0.5,0.6,23.4,10.9,0,0,19.6,0.39,131.9,10.18,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,48.25,-92.25,0,CONUS_48.25_-92.25,USA,31.4,0,23.6,12.6,3.0,35.0,0.5,0.6,22.2,10.9,0,0,20.7,0.41,139.4,10.76,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48.25,-88.25,0,CONUS_48.25_-88.25,USA,1.9,0,21.9,11.2,3.0,35.0,0.5,0.6,20.6,10.9,0,0,12.8,0.26,86.2,6.65,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,47.75,-124.25,0,CONUS_47.75_-124.25,USA,198.7,0,15.4,8.1,3.0,35.0,0.5,0.6,14.4,10.9,0,0,6.3,0.13,42.1,3.25,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,47.75,-123.75,0,CONUS_47.75_-123.75,USA,410.7,0,15.4,8.1,3.0,35.0,0.5,0.6,14.4,10.9,0,0,6.7,0.13,45.5,3.51,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,47.75,-123.25,0,CONUS_47.75_-123.25,USA,446.3,0,15.4,8.1,3.0,35.0,0.5,0.6,14.4,10.9,0,0,6.5,0.13,43.8,3.38,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,47.75,-122.25,0,CONUS_47.75_-122.25,USA,55.8,0,17.2,8.7,3.0,35.0,0.5,0.6,16.1,10.9,0,0,8.7,0.17,58.7,4.53,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,47.75,-121.75,0,CONUS_47.75_-121.75,USA,385.6,0,17.2,8.7,3.0,35.0,0.5,0.6,16.1,10.9,0,0,8.5,0.17,57.2,4.41,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,47.75,-121.25,0,CONUS_47.75_-121.25,USA,366.6,0,17.2,8.7,3.0,35.0,0.5,0.6,16.1,10.9,0,0,9.0,0.18,60.4,4.66,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,47.75,-120.75,0,CONUS_47.75_-120.75,USA,470.4,0,16.1,7.7,3.0,35.0,0.5,0.6,15.2,10.9,0,0,7.3,0.15,49.3,3.8,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,47.75,-117.25,0,CONUS_47.75_-117.25,USA,177.8,0,19.3,9.2,3.0,35.0,0.5,0.6,18.1,10.9,0,0,6.1,0.12,41.2,3.18,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,47.75,-116.75,0,CONUS_47.75_-116.75,USA,183.0,0,19.3,9.2,3.0,35.0,0.5,0.6,18.1,10.9,0,0,5.7,0.11,38.2,2.95,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,47.75,-116.25,0,CONUS_47.75_-116.25,USA,216.6,0,22.2,12.5,3.0,35.0,0.5,0.6,20.9,10.9,0,0,5.4,0.11,36.7,2.83,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,47.75,-115.75,0,CONUS_47.75_-115.75,USA,292.4,0,18.1,9.2,3.0,35.0,0.5,0.6,17.0,10.9,0,0,6.1,0.12,41.2,3.18,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,47.75,-115.25,0,CONUS_47.75_-115.25,USA,307.0,0,18.4,9.2,3.0,35.0,0.5,0.6,17.3,10.9,0,0,6.5,0.13,43.9,3.39,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,47.75,-114.75,0,CONUS_47.75_-114.75,USA,289.3,0,18.1,9.2,3.0,35.0,0.5,0.6,17.0,10.9,0,0,6.0,0.12,40.6,3.13,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,47.75,-114.25,0,CONUS_47.75_-114.25,USA,183.3,0,18.1,9.2,3.0,35.0,0.5,0.6,17.0,10.9,0,0,6.1,0.12,41.3,3.19,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,47.75,-113.75,0,CONUS_47.75_-113.75,USA,393.5,0,18.1,9.2,3.0,35.0,0.5,0.6,17.0,10.9,0,0,6.4,0.13,43.2,3.33,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,47.75,-113.25,0,CONUS_47.75_-113.25,USA,301.6,0,18.1,9.2,3.0,35.0,0.5,0.6,17.0,10.9,0,0,8.7,0.17,58.8,4.53,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,47.75,-112.75,0,CONUS_47.75_-112.75,USA,304.5,0,18.1,9.2,3.0,35.0,0.5,0.6,17.0,10.9,0,0,6.6,0.13,44.6,3.44,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,47.75,-95.25,0,CONUS_47.75_-95.25,USA,38.3,0,20.7,10.7,3.0,35.0,0.5,0.6,19.4,10.9,0,0,10.9,0.22,73.6,5.68,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,47.75,-94.75,0,CONUS_47.75_-94.75,USA,25.0,0,5.1,1.8,3.0,35.0,0.5,0.6,4.8,10.9,0,0,6.1,0.12,41.4,3.19,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,47.75,-94.25,0,CONUS_47.75_-94.25,USA,13.3,0,16.9,6.9,3.0,35.0,0.5,0.6,15.9,10.9,0,0,5.7,0.11,38.1,2.94,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,47.75,-93.75,0,CONUS_47.75_-93.75,USA,15.2,0,16.9,6.9,3.0,35.0,0.5,0.6,15.9,10.9,0,0,5.6,0.11,37.9,2.93,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,47.75,-93.25,0,CONUS_47.75_-93.25,USA,14.7,0,16.9,6.9,3.0,35.0,0.5,0.6,15.9,10.9,0,0,6.7,0.13,45.2,3.49,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,47.75,-92.75,0,CONUS_47.75_-92.75,USA,25.9,0,27.8,15.9,3.0,35.0,0.5,0.6,26.1,10.9,0,0,12.6,0.25,84.6,6.53,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,47.75,-92.25,0,CONUS_47.75_-92.25,USA,23.7,0,14.1,8.0,3.0,35.0,0.5,0.6,13.2,10.9,0,0,10.1,0.2,68.2,5.26,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,47.75,-91.75,0,CONUS_47.75_-91.75,USA,39.9,0,21.9,11.2,3.0,35.0,0.5,0.6,20.6,10.9,0,0,13.8,0.28,93.3,7.2,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,47.75,-91.25,0,CONUS_47.75_-91.25,USA,44.0,0,23.6,12.6,3.0,35.0,0.5,0.6,22.2,10.9,0,0,23.5,0.47,158.6,12.24,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,47.75,-90.75,0,CONUS_47.75_-90.75,USA,154.2,0,18.2,10.6,3.0,35.0,0.5,0.6,17.1,10.9,0,0,25.0,0.5,168.5,13.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,47.75,-90.25,0,CONUS_47.75_-90.25,USA,166.0,0,18.2,10.6,3.0,35.0,0.5,0.6,17.1,10.9,0,0,25.0,0.5,168.5,13.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,47.75,-89.75,0,CONUS_47.75_-89.75,USA,79.3,0,18.2,10.6,3.0,35.0,0.5,0.6,17.1,10.9,0,0,25.0,0.5,168.5,13.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,47.75,-89.25,0,CONUS_47.75_-89.25,USA,23.1,0,14.1,8.0,3.0,35.0,0.5,0.6,13.2,10.9,0,0,19.8,0.4,133.2,10.28,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,47.75,-88.75,0,CONUS_47.75_-88.75,USA,18.5,0,14.1,8.0,3.0,35.0,0.5,0.6,13.3,10.9,0,0,25.0,0.5,168.5,13.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,47.25,-123.75,0,CONUS_47.25_-123.75,USA,213.4,0,17.2,8.7,3.0,35.0,0.5,0.6,16.1,10.9,0,0,7.1,0.14,47.6,3.67,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,47.25,-123.25,0,CONUS_47.25_-123.25,USA,207.2,0,17.2,8.7,3.0,35.0,0.5,0.6,16.1,10.9,0,0,7.8,0.16,52.8,4.07,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,47.25,-122.75,0,CONUS_47.25_-122.75,USA,34.3,0,17.2,8.7,3.0,35.0,0.5,0.6,16.1,10.9,0,0,7.6,0.15,51.0,3.93,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,47.25,-122.25,0,CONUS_47.25_-122.25,USA,107.8,0,17.2,8.7,3.0,35.0,0.5,0.6,16.1,10.9,0,0,8.2,0.16,54.9,4.24,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,47.25,-121.75,0,CONUS_47.25_-121.75,USA,358.8,0,17.2,8.7,3.0,35.0,0.5,0.6,16.1,10.9,0,0,8.5,0.17,57.5,4.44,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,47.25,-121.25,0,CONUS_47.25_-121.25,USA,296.7,0,17.2,8.7,3.0,35.0,0.5,0.6,16.1,10.9,0,0,7.4,0.15,50.0,3.86,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,47.25,-120.75,0,CONUS_47.25_-120.75,USA,394.8,0,16.1,7.7,3.0,35.0,0.5,0.6,15.1,10.9,0,0,5.7,0.11,38.3,2.96,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,47.25,-116.75,0,CONUS_47.25_-116.75,USA,145.3,0,15.6,7.7,3.0,35.0,0.5,0.6,14.7,10.9,0,0,5.2,0.1,35.3,2.72,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,47.25,-116.25,0,CONUS_47.25_-116.25,USA,239.6,0,5.1,1.8,3.0,35.0,0.5,0.6,4.8,10.9,0,0,4.3,0.09,29.0,2.23,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
